115461,3519604,65536
214433,7921309,131072
314427,11068980,196608
436173,14178290,262144
547963,17621204,327680
666317,21395196,393216
794018,25143287,458752
937520,29047460,524288
1097262,32478720,589824
1365656,35588814,655360
1667794,39346453,720896
2049804,42757018,786432
2177278,46567677,851968
2590065,49097635,917504
2844960,53534085,983040
2370481,57427969,1048576
2479709,61144860,1114112
2565338,65044858,1179648
2827573,68589734,1245184
3126181,72013143,1310720
3296760,75692767,1376256
3657923,78744442,1441792
3970717,82875616,1507328
4402293,86851845,1572864
4787539,89454070,1638400
5077955,93118465,1703936
5307041,98001203,1769472
5591016,100924993,1835008
5665366,104669682,1900544
5580497,108131427,1966080
4691920,112407479,2031616
4436192,116023963,2097152
