CUDA heap size: 268435456
-1,314794509,524473,982336,524533,661976
7977,236262674,263586,752064,524533,661976
5804,164438279,225684,682432,322434,605080
6208,172169182,187074,632512,386688,605080
6319,169342742,153277,596544,411443,605080
6366,167308916,124336,570240,433727,605080
5113,118130380,96576,552256,297909,587328
4528,112038486,89332,539392,284547,587328
4685,117418255,78464,522688,313072,587328
4634,115301874,70757,497792,313459,587328
3868,87871012,66981,473216,225673,574672
3433,73686864,62201,452160,183040,574448
3173,71889393,63283,434240,176469,573888
3307,75346380,62439,411456,188802,573888
2769,58857665,64362,393984,132637,565096
2593,56449006,67439,375680,120887,564536
2473,52353172,69786,361472,104776,561400
2392,52850632,75738,351040,100501,561400
2245,48183396,81907,338624,78950,550480
2181,48632264,89632,329024,72671,548408
2236,51146497,98762,321536,71952,542360
2273,51519427,107691,312128,63690,541968
2146,50724865,121086,306624,47867,508872
2241,55407413,134798,301440,49993,505904
2349,60370129,151261,297536,50116,500864
2483,66137459,169604,293248,50766,499912
2487,68876388,189548,290624,40568,459424
2714,76358898,214631,288704,39747,456624
3664,85052469,240965,287936,42218,453320
6475,94347368,271027,287808,43520,451920
3996,103839069,304565,377152,41587,417760
3736,114164769,340755,376192,40045,415408
4881,127467377,382389,632576,42395,413224
4122,141701141,425855,624256,45940,412216
4825,156470883,473862,619136,47190,387912
6346,172389381,524539,616512,50420,386736
8081,188723900,576936,616064,52487,385952
7374,207161356,632645,882880,57714,385000
6039,225575948,689157,875840,62653,373800
7780,244484779,746433,871424,68546,372680
10037,263296867,802914,870336,75534,372008
10729,281342638,856565,1115264,81454,371784
7946,299751039,908481,1105984,90539,367136
9607,316397227,954254,1100480,100269,367024
10568,332248769,995827,1098624,111524,366912
12838,345939582,1029399,1127360,123403,366800
10014,357126310,1055660,1255808,134657,364280
9310,367399438,1074907,1246720,150124,364056
10185,374517946,1082572,1242048,165888,363944
10715,379356835,1081385,1238400,183169,363944
10829,381390547,1069456,1235200,200928,362936
10615,380468984,1048463,1232000,218599,362936
10375,377851622,1019421,1229760,239498,362936
10026,371951911,980234,1227840,259894,362936
10979,364611745,934637,1225280,280620,362432
11052,354621861,881007,1222848,301128,375256
11486,342747355,823272,1220416,319475,386680
11718,330632806,762238,1219328,339712,401016
10109,316656323,697795,1218112,358041,443016
9898,302308841,632636,1216256,374847,442848
11562,287200056,567424,1215232,390160,447776
11205,271632592,504644,1213568,400915,465472
10519,257001274,445021,1212480,411115,467432
11221,242084477,388249,1211584,418788,475384
10793,227956975,335741,1211008,423854,482608
9765,213987475,287586,1209408,425933,483560
9627,200175417,244581,1208128,423097,483784
8761,188200421,206603,1205824,420918,484232
7742,176683427,173514,1200832,416236,484232
7286,166269981,144834,1193472,409316,484232
6327,156198420,119951,1178240,400648,483896
5794,146488481,99363,1153920,388829,483896
5473,138192164,82238,1114944,378325,483896
5212,130647332,68014,1058816,367355,483896
4978,123337091,56543,989312,354947,483224
4813,116877819,47250,909568,342309,483224
4556,110267927,39870,822464,327863,483224
4380,104887799,34103,730560,315506,483224
4269,99930665,29517,633536,303576,482496
4047,95069758,25880,546624,291219,482496
3942,90746270,23234,466944,279063,482496
3746,86285085,21193,393728,266032,482496
3568,82389917,19783,331264,254856,481488
3494,79150272,18601,273472,244807,481488
3365,75738713,17857,225216,234579,481488
3254,72649248,17508,187776,224757,481432
3142,69323706,17445,159296,213585,480424
3047,66735308,17700,137472,204679,480312
2956,64515315,18032,120384,196630,480256
2864,62040565,18646,106496,188269,480032
2808,59970667,19448,94784,180396,478632
2728,57641080,20256,85568,171626,478296
2666,55543798,21209,78144,164448,477904
2583,54164785,22152,72832,158425,477008
2525,52607191,23415,68608,151786,474936
2477,51166113,24736,64768,145845,473928
2402,49404430,26136,61248,139050,473368
2363,48319315,27700,58368,133487,472808
2365,47199485,29308,55488,128357,470680
2280,46356021,31247,53184,123240,469392
2279,45531956,33412,51968,118666,467712
2295,44597478,35551,50560,113325,465752
2360,44016444,37937,49600,108778,461720
2353,43516096,40267,49216,105020,459088
2436,43469509,42979,49088,101565,456232
2367,43058241,45618,113216,98365,453544
2066,42583103,48439,107712,93858,449400
2074,42517875,51533,103616,90770,446936
2112,42820666,54656,100416,88370,443800
2193,43213189,58012,97792,86199,441168
2182,43449039,61492,94912,83558,435064
2174,43722250,65102,93184,80548,431928
2286,44347393,69090,91904,78626,427952
2324,45085013,73030,91136,77489,423192
2431,45871104,77238,90688,75724,417368
2557,46737359,81624,90624,74484,413168
2251,47592976,86208,280320,72664,409640
2120,48876277,91330,262912,71475,405496
2181,50204668,96366,247296,70831,398496
2193,51469768,101696,234048,70303,393848
2204,52973518,106701,221696,70221,390488
2238,54594704,112388,213184,69533,386008
2283,56083760,118091,204224,69102,378000
2361,58062966,123997,199232,69591,373968
2386,59858895,130159,194752,70118,370216
