72 1,10019,0
72 2,563,0
72 3,5054,0
72 4,742,0
72 5,889,0
72 6,5342,0
72 7,1102,0
72 8,1222,0
72 9,5714,0
72 10,1439,0
72 11,1581,0
72 12,48495,0
72 13,42390,0
72 14,9822,0
72 15,2215,0
72 16,2398,0
72 17,2568,0
72 18,2440,0
72 19,9217,0
72 20,2715,0
72 21,2885,0
72 22,9611,0
72 23,3031,0
72 24,3197,0
72 25,9964,0
72 26,3475,0
72 27,3547,0
72 28,10331,0
72 29,3748,0
72 30,3991,0
72 31,10700,0
72 32,4191,0
72 33,4354,0
72 34,11095,0
72 35,4542,0
72 36,4649,0
72 37,13702,0
72 38,4944,0
72 39,5036,0
72 40,14103,0
72 41,5271,0
72 42,5388,0
72 43,14497,0
72 44,5650,0
72 45,5747,0
72 46,14849,0
72 47,5977,0
72 48,6144,0
72 49,15255,0
72 50,6380,0
72 51,6557,0
72 52,15667,0
72 53,6804,0
72 54,6937,0
72 55,18303,0
72 56,7944,0
72 57,7278,0
72 58,18640,0
72 59,7594,0
72 60,7631,0
72 61,19082,0
72 62,7850,0
72 63,8082,0
72 64,19383,0
72 65,8271,0
72 66,8351,0
72 67,19840,0
72 68,8640,0
72 69,8773,0
72 70,20149,0
72 71,9012,0
72 72,9104,0
72 73,22758,0
72 74,9409,0
72 75,10866,0
72 76,23165,0
72 77,9848,0
72 78,9985,0
72 79,23663,0
72 80,10121,0
72 81,11071,0
72 82,23915,0
72 83,10529,0
72 84,12000,0
72 85,24265,0
72 86,10933,0
72 87,11849,0
72 88,24664,0
72 89,11420,0
72 90,11969,0
72 91,27340,0
72 92,11601,0
72 93,12109,0
72 94,27689,0
72 95,11978,0
72 96,12157,0
72 97,28085,0
72 98,12767,0
72 99,12565,0
72 100,28509,0
72 101,12926,0
72 102,13006,0
72 103,28846,0
72 104,13453,0
72 105,13412,0
72 106,29248,0
72 107,13819,0
72 108,13711,0
72 109,31878,0
72 110,14152,0
72 111,14125,0
72 112,32205,0
72 113,14523,0
72 114,14467,0
72 115,32677,0
72 116,15056,0
72 117,14890,0
72 118,33088,0
72 119,15391,0
72 120,15254,0
72 121,33461,0
72 122,16001,0
72 123,15798,0
72 124,33912,0
72 125,16229,0
72 126,15960,0
72 127,36463,0
72 128,17222,0
72 129,16375,0
72 130,36916,0
72 131,17446,0
72 132,16800,0
72 133,37205,0
72 134,17597,0
72 135,17176,0
72 136,37636,0
72 137,18276,0
72 138,17518,0
72 139,38109,0
72 140,18585,0
72 141,17895,0
72 142,37017,0
72 143,19212,0
72 144,18362,0
72 145,40816,0
72 146,19375,0
72 147,19498,0
72 148,38781,0
72 149,28740,0
72 150,19051,0
72 151,41594,0
72 152,19690,0
72 153,19487,0
72 154,42128,0
72 155,20182,0
72 156,20784,0
72 157,41046,0
72 158,29972,0
72 159,20176,0
72 160,42944,0
72 161,21687,0
72 162,20658,0
72 163,44998,0
72 164,21726,0
72 165,20997,0
72 166,46158,0
72 167,22304,0
72 168,21289,0
72 169,47158,0
72 170,22619,0
72 171,21647,0
72 172,47933,0
72 173,23455,0
72 174,22174,0
72 175,48848,0
72 176,23929,0
72 177,22505,0
72 178,48271,0
72 179,24246,0
72 180,22955,0
72 181,52196,0
72 182,24438,0
72 183,23471,0
72 184,52888,0
72 185,24957,0
72 186,23896,0
72 187,53592,0
72 188,25361,0
72 189,24244,0
72 190,53799,0
72 191,26218,0
72 192,24688,0
72 193,54311,0
72 194,26207,0
72 195,25081,0
72 196,54627,0
72 197,26694,0
72 198,25373,0
72 199,57313,0
72 200,26918,0
