3680,474176,465672,0,6815264,824979,0,776753,0
3712,480997,472433,0,6871162,832038,0,783351,0
3744,490219,481572,0,6940083,841122,0,790859,0
3776,496377,487666,0,6990597,843877,0,798023,0
3808,505906,497112,0,7049881,853651,0,803617,0
3840,513508,504646,0,7111026,863054,0,809396,0
3872,522222,513284,0,7178915,873144,0,816022,0
3904,531456,522438,0,7203660,874376,0,819762,0
3936,538827,529735,0,7282527,882441,0,829956,0
3968,548748,539579,0,7366188,892462,0,839137,0
4000,558136,548880,0,7407777,894642,0,845580,0
4032,565676,556355,0,7469193,903961,0,851329,0
4064,574049,564653,0,7534326,912384,0,858371,0
4096,584678,575196,0,7575574,916848,0,863338,0
4128,593766,584205,0,7632093,919567,0,871944,0
4160,603036,593400,0,7695519,928039,0,878503,0






