32,707,575,0,61129,6931,0,7201,0
64,1039,878,0,119167,14150,0,13781,0
96,1418,1211,0,176953,20974,0,20286,0
128,1743,1488,0,236398,28305,0,27160,0
160,1975,1664,0,293320,35866,0,33270,0
192,2268,1898,0,364476,42109,0,42553,0
224,2741,2304,0,414646,48475,0,48233,0
256,3387,2870,0,465154,56191,0,53107,0
288,4481,3893,0,521248,63006,0,59540,0
320,5610,4936,0,581478,72209,0,65476,0
352,6474,5663,0,651041,78009,0,74790,0
384,7303,6362,0,718388,87499,0,81663,0
416,8268,7193,0,762416,89536,0,88306,0
448,9454,8018,0,835179,100941,0,95358,0
480,10637,8887,0,914727,113632,0,103340,0
512,11907,9928,0,963906,119081,0,108948,0
544,13571,11278,0,1006457,125169,0,113290,0
576,15426,13072,0,1066503,125999,0,123271,0
608,17192,14538,0,1159350,142284,0,131581,0
640,18690,15766,0,1156964,139325,0,132388,0
672,20303,17111,0,1244262,152786,0,140977,0
704,21614,18394,0,1299140,157135,0,148135,0
736,23557,19814,0,1359088,163122,0,155695,0
768,25213,21316,0,1419015,170040,0,162811,0
800,27508,23009,0,1495511,183390,0,169510,0
832,29994,25167,0,1556232,190172,0,176550,0
864,32341,27165,0,1618058,197604,0,183447,0
896,34867,29406,0,1674505,201624,0,191605,0
928,37037,31266,0,1714077,208114,0,195282,0
960,39381,33151,0,1777856,217751,0,201607,0
992,41455,34948,0,1833604,221345,0,209193,0
1024,43985,37272,0,1900146,229258,0,217014,0
1056,46580,39307,0,1953736,237828,0,222146,0
1088,49177,41843,0,2028969,248098,0,230243,0
1120,52048,44440,0,2067148,251502,0,235059,0
1152,55017,46869,0,2124033,256880,0,242523,0
1184,58247,49518,0,2190386,263727,0,250630,0
1216,61024,52197,0,2234024,271785,0,254169,0
1248,63829,54660,0,2296614,274925,0,263310,0
1280,66666,57285,0,2361467,286266,0,268962,0
1312,69516,59956,0,2410766,291188,0,275334,0
1344,72544,62645,0,2466024,296518,0,282038,0
1376,76488,65500,0,2556648,307053,0,292820,0
1408,79273,68674,0,2600606,311794,0,298395,0
1440,83685,71820,0,2670295,323637,0,304125,0
1472,89104,75236,0,2698729,321662,0,310219,0
1504,98569,78231,0,2784030,339579,0,316226,0
1536,99807,81331,0,2852976,347221,0,324385,0
1568,108794,84234,0,2927159,351570,0,335002,0
1600,112100,87701,0,2968248,360580,0,337585,0
1632,112303,91201,0,3026739,365577,0,345590,0
















































