157178,236262674,263586,527232,524533,524544
128425,164438279,225684,526976,322434,524544
140530,172169182,187074,526912,386688,524544
141810,169342742,153277,526656,411443,524544
142406,167308916,124336,525312,433727,524544
87624,118130380,96576,523264,297909,524544
79772,112038486,89332,518144,284547,524544
82075,117418255,78464,507072,313072,524544
80737,115301874,70757,487104,313459,524544
70436,87871012,66981,466304,225673,524544
65703,73686864,62201,444480,183040,524544
62881,71889393,63283,429248,176469,524544
63770,75346380,62439,408832,188802,524544
58231,58857665,64362,392576,132637,524416
56272,56449006,67439,374720,120887,524416
55819,52353172,69786,359552,104776,524416
54916,52850632,75738,349696,100501,524416
52668,48183396,81907,337920,78950,518144
52317,48632264,89632,328896,72671,517760
52752,51146497,98762,321280,71952,517696
53382,51519427,107691,312896,63690,517312
51608,50724865,121086,307456,47867,496960
52532,55407413,134798,302144,49993,496000
53650,60370129,151261,298112,50116,495744
54900,66137459,169604,294080,50766,494336
55278,68876388,189548,291456,40568,459392
56197,76358898,214631,290112,39747,457280
57796,85052469,240965,289152,42218,456704
60016,94347368,271027,289024,43520,455744
61790,103839069,304565,321984,41587,426880
63719,114164769,340755,358720,40045,425152
65885,127467377,382389,398400,42395,424448
70817,141701141,425855,445440,45940,423040
73110,156470883,473862,495616,47190,402240
77548,172389381,524539,548992,50420,401088
81029,188723900,576936,606592,52487,400704
84101,207161356,632645,662720,57714,399808
87387,225575948,689157,721408,62653,388864
90367,244484779,746433,784384,68546,387968
93255,263296867,802914,845312,75534,387968
96944,281342638,856565,905920,81454,387712
100475,299751039,908481,960640,90539,382528
104395,316397227,954254,1012224,100269,382272
106764,332248769,995827,1060544,111524,382272
109968,345939582,1029399,1100672,123403,382016
112801,357126310,1055660,1135488,134657,380224
115949,367399438,1074907,1161344,150124,380160
119255,374517946,1082572,1177472,165888,380160
121558,379356835,1081385,1183424,183169,380096
124317,381390547,1069456,1183808,200928,378816
125466,380468984,1048463,1183744,218599,378816
126969,377851622,1019421,1183744,239498,378816
127830,371951911,980234,1183744,259894,378816
129123,364611745,934637,1183744,280620,378304
128433,354621861,881007,1183744,301128,378560
127888,342747355,823272,1183744,319475,380288
126910,330632806,762238,1183680,339712,392192
126055,316656323,697795,1183680,358041,404416
123740,302308841,632636,1183680,374847,418944
121691,287200056,567424,1183680,390160,433536
119652,271632592,504644,1183680,400915,444800
117233,257001274,445021,1183680,411115,454656
115071,242084477,388249,1183680,418788,463488
112262,227956975,335741,1183680,423854,468672
110330,213987475,287586,1183488,425933,471808
107968,200175417,244581,1182848,423097,472128
105516,188200421,206603,1179904,420918,472256
103452,176683427,173514,1174144,416236,472320
101214,166269981,144834,1160512,409316,472576
98373,156198420,119951,1139264,400648,472448
96337,146488481,99363,1106688,388829,472320
94528,138192164,82238,1060096,378325,472320
91833,130647332,68014,996160,367355,472320
89815,123337091,56543,922176,354947,471808
87565,116877819,47250,834304,342309,471808
85734,110267927,39870,747072,327863,471808
83104,104887799,34103,662272,315506,471808
81671,99930665,29517,571968,303576,471424
79176,95069758,25880,493888,291219,471424
77772,90746270,23234,420672,279063,471296
74004,86285085,21193,354816,266032,471296
