1,298045,91200,291,576,11,336
           9,288034,682613,1046,2048,1223,1456
           17,316688,1629849,2979,3648,2425,3136
           25,359610,2481773,4142,5504,4224,6496
           33,378937,3960455,7130,8384,6147,7616
           41,383467,4190759,6817,9600,7105,9352
           49,389828,5725620,10313,12160,8638,11312
           57,423346,6015992,10289,12544,9895,13160
           65,458330,7418269,12840,15296,11698,14728
           73,433071,8039701,13611,17408,13219,17136
           81,453163,8668209,14415,18880,14502,17304
           89,454715,9837275,17957,22336,14659,19600
           97,462449,10816294,18255,25088,17722,21672
           105,474443,11756049,21094,26496,18110,22736
           113,500441,12969818,23127,27840,19905,25144
           121,507384,13230661,22906,28160,21295,26320
           129,512072,13846576,24553,28800,21612,28728
           137,527645,15768456,28372,34048,24295,29400
           145,539875,15549567,26095,34624,25801,31472
           153,581221,17514892,30501,37248,27894,32088
           161,570659,18583730,33654,47168,28254,33600
           169,584962,18867499,32627,39104,30295,33992
           177,596080,18349627,32263,38976,28888,35784
           185,622045,20667191,36762,45632,32317,37632
           193,640494,21847877,38495,45888,34134,39424
           201,655473,22545323,39544,49088,35738,41104
           209,657505,23224002,40186,48896,37626,42952
           217,677098,24809958,44704,54528,37846,45920
           225,684156,24334006,41758,51520,39207,46984
           233,710004,26328439,47161,56640,40635,49112
           241,748916,26889798,47457,57216,42165,50904
           249,748714,27653110,48632,56896,43915,52808
           257,756974,27867575,48841,57792,44229,55160
           265,778520,29492690,51833,63744,46759,55888
           273,789365,30502547,54246,63104,47299,58520
           281,806266,30921373,55811,67840,47618,59920
           289,816929,32729818,56533,70016,52505,60760
           297,826196,34667721,62846,78016,52466,63504
           305,847994,34545173,61128,73216,54018,64176
           313,860334,34969281,60697,72320,55640,66920
           321,903315,37334422,68122,86336,56511,68040
           329,894425,36703499,66269,81152,56034,70112
           337,909937,38584675,69518,81536,59015,71344
           345,916299,38396996,67400,79040,60850,72968
           353,931837,40289743,73087,92864,61122,76552
           361,946353,40008814,69526,83648,63925,77112
           369,962849,43187733,79288,98368,64846,78904
           377,979988,43349971,77626,90496,66513,81088
           385,995494,44183513,78454,92352,69251,82600
           393,1009431,44246113,77929,90752,69482,83440
           401,1047076,45440298,80444,96000,70376,85512
           409,1040337,46010887,81261,99712,71849,87808
           417,1062614,47241701,86241,104832,71332,89264
           425,1080381,46584106,82832,97984,72295,90608
