3616,2006251,439185,0,6676063,808201,0,760990,0
3648,2053260,446526,0,6746072,817800,0,768386,0
3680,2063371,454508,0,6815264,824979,0,776753,0
3712,2121466,462046,0,6871162,832038,0,783351,0
3744,2155476,470658,0,6940083,841122,0,790859,0
3776,2181898,478321,0,6990597,843877,0,798023,0
3808,2217167,486306,0,7049881,853651,0,803617,0
3840,2252262,494799,0,7111026,863054,0,809396,0
3872,2312906,502748,0,7178915,873144,0,816022,0
3904,2330271,511011,0,7203660,874376,0,819762,0































