32768,267,195,3360,0,2879,0
65536,367,285,6931,0,7201,0
98304,498,395,10419,0,10163,0
131072,677,545,14150,0,13781,0
163840,911,729,18095,0,16776,0
196608,1067,826,20974,0,20286,0
229376,1284,983,25482,0,23373,0
262144,1474,1130,28305,0,27160,0
294912,1762,1328,35485,0,30516,0
327680,2018,1487,35866,0,33270,0
360448,2430,1665,40585,0,36240,0
393216,2716,1860,42109,0,42553,0
425984,3111,2088,46856,0,44363,0
458752,3385,2302,48475,0,48233,0
491520,3741,2531,53051,0,51278,0
524288,4199,2911,56191,0,53107,0
557056,4737,3413,61526,0,59337,0
589824,5360,3975,63006,0,59540,0
622592,5975,4558,65690,0,64157,0
655360,6563,5022,72209,0,65476,0
688128,6923,5385,73581,0,73166,0
720896,7364,5758,78009,0,74790,0
753664,7823,6100,90078,0,76677,0
786432,8279,6461,87499,0,81663,0
819200,8714,6873,86894,0,84572,0
851968,9318,7331,89536,0,88306,0
884736,9742,7706,97676,0,91398,0
917504,10454,8147,100941,0,95358,0
950272,10849,8572,107689,0,98744,0
983040,11418,9013,113632,0,103340,0
1015808,12737,9473,112962,0,107581,0
1048576,13857,10074,119081,0,108948,0
1081344,14748,10706,120575,0,113046,0
1114112,15817,11431,125169,0,113290,0
1146880,16276,12269,126139,0,118235,0
1179648,18262,13235,125999,0,123271,0
































































































































