32768,265,191,3360,0,2879,0
65536,412,319,6931,0,7201,0
98304,500,392,10419,0,10163,0
131072,684,548,14150,0,13781,0
163840,830,670,18095,0,16776,0
196608,1018,823,20974,0,20286,0
229376,1272,1043,25482,0,23373,0
262144,1385,1128,28305,0,27160,0
294912,1592,1304,35485,0,30516,0
327680,1805,1488,35866,0,33270,0
360448,2030,1679,40585,0,36240,0
393216,2250,1859,42109,0,42553,0
425984,2518,2091,46856,0,44363,0
458752,2771,2306,48475,0,48233,0
491520,3034,2534,53051,0,51278,0
524288,3460,2919,56191,0,53107,0
557056,3996,3417,61526,0,59337,0
589824,4585,3977,63006,0,59540,0
622592,5208,4559,65690,0,64157,0
655360,5705,5020,72209,0,65476,0
688128,6103,5382,73581,0,73166,0
720896,6515,5758,78009,0,74790,0
753664,6893,6102,90078,0,76677,0
786432,7324,6499,87499,0,81663,0
819200,7766,6906,86894,0,84572,0
851968,8267,7369,89536,0,88306,0
884736,8679,7745,97676,0,91398,0
917504,9118,8149,100941,0,95358,0
950272,9578,8569,107689,0,98744,0
983040,10057,9013,113632,0,103340,0
1015808,10556,9474,112962,0,107581,0
1048576,11205,10089,119081,0,108948,0
1081344,11889,10733,120575,0,113046,0
1114112,12796,11602,125169,0,113290,0
1146880,13556,12321,126139,0,118235,0
1179648,14711,13436,125999,0,123271,0
1212416,15301,13993,132926,0,124665,0
1245184,16269,14923,142284,0,131581,0
1277952,16901,15518,142627,0,131291,0
1310720,17603,16183,139325,0,132388,0
1343488,18325,16865,144348,0,142035,0
1376256,19021,17526,152786,0,140977,0
1409024,19752,18222,152256,0,144715,0
1441792,20394,18829,157135,0,148135,0
1474560,21097,19496,160278,0,151703,0
1507328,21855,20213,163122,0,155695,0
1540096,22647,20969,172398,0,159208,0
1572864,23479,21761,170040,0,162811,0
1605632,24368,22615,173220,0,165982,0
1638400,25204,23414,183390,0,169510,0
1671168,26361,24537,179749,0,171616,0
1703936,27431,25564,190172,0,176550,0











