13095108,1310845,1310848,1308939,1308960
13552889,828800,1596096,1580927,1616220
9482790,544736,1588032,1121226,1616220
8700583,390391,1581504,1075630,1612140
8672658,281454,1576000,1118328,1612140
9118839,213230,1565888,1211307,1612140
7835767,179994,1536640,1042255,1612140
6997432,141384,1456768,939040,1609200
6168950,122275,1363264,828875,1609140
5874648,104602,1245760,794406,1609140
4123797,99640,1154816,546411,1609140
3979787,99911,1068992,525722,1604820
3724469,96894,974528,490541,1603740
3309790,97634,909312,430984,1603740
2200970,101692,862528,270842,1599300
1987566,109235,826816,237123,1572600
2082510,120254,789696,245964,1568100
2010087,129846,750208,231507,1567620
1423444,143722,725440,141754,1497840
1315958,159516,704128,119630,1441500
1353566,178660,687232,116798,1431120
1499164,203395,670656,126997,1426080
1356609,230212,656768,95139,1240020
1325576,261660,648192,77228,1188720
1388992,296640,639936,71296,1179960
1521979,337119,634048,72946,1172640
1622990,386558,629248,66188,986400
1763628,441527,625536,62721,953760
1927419,503131,623680,59718,946200
2135823,572564,622912,59733,941220
2350456,650329,706240,57067,823980
2649924,739745,792192,61527,807120
2967412,838614,877248,64510,802980
3301894,946300,1005888,66142,799260
3661300,1063428,1121792,67288,742980
4077817,1190052,1242304,72523,735360
4546130,1326106,1365184,81116,733080
5032523,1470198,1534848,88847,731700
5522348,1619445,1696128,94859,704220
6039631,1772611,1865920,103114,700320
6587956,1928408,2022080,114676,699420
7160226,2083649,2195136,129897,698940
7720319,2235440,2327744,144857,687540
8265951,2381244,2492864,160317,686280
8800883,2518159,2650752,178058,686100
9328686,2643908,2766720,199566,685680
9842191,2754594,2922688,225487,681660
10316472,2848500,3003392,252996,681360
10738804,2923069,3118208,281371,681180
11117043,2977443,3190080,312102,681180
11460638,3011183,3228288,346727,679080
11773543,3023178,3266240,386287,678960
12029845,3012110,3264768,427645,678900
12220660,2978751,3264000,469201,678900
12360296,2925341,3263616,512039,678360
12460207,2853878,3262848,556939,678180
12522519,2763862,3262272,604419,678180
12539933,2657683,3261888,652412,678180
12503691,2538031,3261120,698514,716880
12420162,2407617,3260672,742473,774840
12298874,2269281,3259840,784433,809520
12162472,2125193,3259456,826699,847200
11999280,1977943,3259200,866493,879480
11791892,1829632,3258944,900428,919560
11546568,1682272,3258368,928536,952500
11287318,1538852,3257728,952966,989700
11018995,1399851,3257344,974206,989700
10737433,1266706,3256896,991045,1022160
10432064,1140001,3256448,1001723,1022160
10108450,1020764,3256128,1006594,1021440
9786681,910157,3255872,1008030,1021440
9462909,807189,3255680,1005906,1021440
9149251,713120,3255360,1001413,1021440
8821002,627345,3254976,991281,1021680
8480120,549301,3253824,976031,1021680
8162519,479778,3250432,960455,1021680
7853018,416868,3243776,943202,1021680
